city,state,geography,subgeography,subject_race,search_rate,stop_rate,hit_rate,inferred_threshold,stops_per_year,stop_rate_n
Little Rock,AR,Little Rock,NA,white,NA,0.07192230291364074,NA,NA,6576,6576
Little Rock,AR,Little Rock,NA,black,NA,0.09381242841541698,NA,NA,7684.363636363636,7684.363636363636
Bakersfield,CA,Bakersfield,Central,white,NA,0.08425990189968167,NA,NA,2335.0344827586205,10587.172413793103
Bakersfield,CA,Bakersfield,Central,black,NA,0.08692818180283658,NA,NA,523.0344827586207,2308.551724137931
Bakersfield,CA,Bakersfield,Central,hispanic,NA,0.03538004313658182,NA,NA,1238.4827586206898,6489.6551724137935
Bakersfield,CA,Bakersfield,Hill,white,NA,0.08425990189968167,NA,NA,1547.7241379310344,10587.172413793103
Bakersfield,CA,Bakersfield,Hill,black,NA,0.08692818180283658,NA,NA,228.82758620689657,2308.551724137931
Bakersfield,CA,Bakersfield,Hill,hispanic,NA,0.03538004313658182,NA,NA,826.2068965517242,6489.6551724137935
Bakersfield,CA,Bakersfield,Metro,white,NA,0.08425990189968167,NA,NA,2554.344827586207,10587.172413793103
Bakersfield,CA,Bakersfield,Metro,black,NA,0.08692818180283658,NA,NA,874.0689655172414,2308.551724137931
Bakersfield,CA,Bakersfield,Metro,hispanic,NA,0.03538004313658182,NA,NA,1957.3793103448277,6489.6551724137935
Bakersfield,CA,Bakersfield,North,white,NA,0.08425990189968167,NA,NA,1694.758620689655,10587.172413793103
Bakersfield,CA,Bakersfield,North,black,NA,0.08692818180283658,NA,NA,93.45882352941176,2308.551724137931
Bakersfield,CA,Bakersfield,North,hispanic,NA,0.03538004313658182,NA,NA,450.48275862068965,6489.6551724137935
Bakersfield,CA,Bakersfield,South,white,NA,0.08425990189968167,NA,NA,682.6206896551724,10587.172413793103
Bakersfield,CA,Bakersfield,South,black,NA,0.08692818180283658,NA,NA,148.74418604651163,2308.551724137931
Bakersfield,CA,Bakersfield,South,hispanic,NA,0.03538004313658182,NA,NA,550.8965517241379,6489.6551724137935
Bakersfield,CA,Bakersfield,Valley,white,NA,0.08425990189968167,NA,NA,872.1379310344828,10587.172413793103
Bakersfield,CA,Bakersfield,Valley,black,NA,0.08692818180283658,NA,NA,312.82758620689657,2308.551724137931
Bakersfield,CA,Bakersfield,Valley,hispanic,NA,0.03538004313658182,NA,NA,968.4137931034483,6489.6551724137935
Bakersfield,CA,Bakersfield,NA,white,NA,0.08425990189968167,NA,NA,900.5517241379312,10587.172413793103
Bakersfield,CA,Bakersfield,NA,black,NA,0.08692818180283658,NA,NA,131.44827586206895,2308.551724137931
Bakersfield,CA,Bakersfield,NA,hispanic,NA,0.03538004313658182,NA,NA,497.79310344827593,6489.6551724137935
Los Angeles,CA,Los Angeles,0036,hispanic,NA,0.11080766565828289,NA,NA,12,213069.73333333334
Los Angeles,CA,Los Angeles,0052,white,NA,0.10772053007767274,NA,NA,12,120984.26666666666
Los Angeles,CA,Los Angeles,01,black,NA,0.32315822633876917,NA,NA,12,109763.6
Los Angeles,CA,Los Angeles,0101,white,NA,0.10772053007767274,NA,NA,42.85714285714286,120984.26666666666
Los Angeles,CA,Los Angeles,0101,black,NA,0.32315822633876917,NA,NA,23.2,109763.6
Los Angeles,CA,Los Angeles,0101,hispanic,NA,0.11080766565828289,NA,NA,104.84210526315789,213069.73333333334
Los Angeles,CA,Los Angeles,0105,white,NA,0.10772053007767274,NA,NA,22.666666666666664,120984.26666666666
Los Angeles,CA,Los Angeles,0105,black,NA,0.32315822633876917,NA,NA,18,109763.6
Los Angeles,CA,Los Angeles,0105,hispanic,NA,0.11080766565828289,NA,NA,37.5,213069.73333333334
Los Angeles,CA,Los Angeles,0107,hispanic,NA,0.11080766565828289,NA,NA,12,213069.73333333334
Los Angeles,CA,Los Angeles,0109,white,NA,0.10772053007767274,NA,NA,12,120984.26666666666
Los Angeles,CA,Los Angeles,0109,hispanic,NA,0.11080766565828289,NA,NA,16,213069.73333333334
Los Angeles,CA,Los Angeles,0111,white,NA,0.10772053007767274,NA,NA,310,120984.26666666666
Los Angeles,CA,Los Angeles,0111,black,NA,0.32315822633876917,NA,NA,181.26315789473682,109763.6
Los Angeles,CA,Los Angeles,0111,hispanic,NA,0.11080766565828289,NA,NA,636,213069.73333333334
Los Angeles,CA,Los Angeles,0112,white,NA,0.10772053007767274,NA,NA,46.5,120984.26666666666
Los Angeles,CA,Los Angeles,0112,black,NA,0.32315822633876917,NA,NA,29.647058823529413,109763.6
Los Angeles,CA,Los Angeles,0112,hispanic,NA,0.11080766565828289,NA,NA,84.66666666666666,213069.73333333334
Los Angeles,CA,Los Angeles,0118,white,NA,0.10772053007767274,NA,NA,44.21052631578947,120984.26666666666
Los Angeles,CA,Los Angeles,0118,black,NA,0.32315822633876917,NA,NA,36.800000000000004,109763.6
Los Angeles,CA,Los Angeles,0118,hispanic,NA,0.11080766565828289,NA,NA,181.26315789473682,213069.73333333334
Los Angeles,CA,Los Angeles,0119,white,NA,0.10772053007767274,NA,NA,74.66666666666667,120984.26666666666
Los Angeles,CA,Los Angeles,0119,black,NA,0.32315822633876917,NA,NA,115.33333333333333,109763.6
Los Angeles,CA,Los Angeles,0119,hispanic,NA,0.11080766565828289,NA,NA,204.63157894736844,213069.73333333334
Los Angeles,CA,Los Angeles,0121,white,NA,0.10772053007767274,NA,NA,30,120984.26666666666
Los Angeles,CA,Los Angeles,0121,black,NA,0.32315822633876917,NA,NA,25.200000000000003,109763.6
Los Angeles,CA,Los Angeles,0121,hispanic,NA,0.11080766565828289,NA,NA,23,213069.73333333334
Los Angeles,CA,Los Angeles,0122,white,NA,0.10772053007767274,NA,NA,82.39999999999999,120984.26666666666
Los Angeles,CA,Los Angeles,0122,black,NA,0.32315822633876917,NA,NA,55.71428571428572,109763.6
Los Angeles,CA,Los Angeles,0122,hispanic,NA,0.11080766565828289,NA,NA,76.23529411764706,213069.73333333334
Los Angeles,CA,Los Angeles,0123,white,NA,0.10772053007767274,NA,NA,117.4736842105263,120984.26666666666
Los Angeles,CA,Los Angeles,0123,black,NA,0.32315822633876917,NA,NA,84,109763.6
Los Angeles,CA,Los Angeles,0123,hispanic,NA,0.11080766565828289,NA,NA,149.05263157894737,213069.73333333334
Los Angeles,CA,Los Angeles,0124,white,NA,0.10772053007767274,NA,NA,63.15789473684211,120984.26666666666
Los Angeles,CA,Los Angeles,0124,black,NA,0.32315822633876917,NA,NA,40,109763.6
Los Angeles,CA,Los Angeles,0124,hispanic,NA,0.11080766565828289,NA,NA,112,213069.73333333334
Los Angeles,CA,Los Angeles,0127,white,NA,0.10772053007767274,NA,NA,32,120984.26666666666
Los Angeles,CA,Los Angeles,0127,black,NA,0.32315822633876917,NA,NA,32.8,109763.6
Los Angeles,CA,Los Angeles,0127,hispanic,NA,0.11080766565828289,NA,NA,66.94736842105263,213069.73333333334
Los Angeles,CA,Los Angeles,0128,white,NA,0.10772053007767274,NA,NA,53.333333333333336,120984.26666666666
Los Angeles,CA,Los Angeles,0128,black,NA,0.32315822633876917,NA,NA,46.588235294117645,109763.6
Los Angeles,CA,Los Angeles,0128,hispanic,NA,0.11080766565828289,NA,NA,111.15789473684211,213069.73333333334
Los Angeles,CA,Los Angeles,0129,white,NA,0.10772053007767274,NA,NA,46.666666666666664,120984.26666666666
Los Angeles,CA,Los Angeles,0129,black,NA,0.32315822633876917,NA,NA,55.76470588235294,109763.6
Los Angeles,CA,Los Angeles,0129,hispanic,NA,0.11080766565828289,NA,NA,126.31578947368422,213069.73333333334
Los Angeles,CA,Los Angeles,0131,white,NA,0.10772053007767274,NA,NA,20,120984.26666666666
Los Angeles,CA,Los Angeles,0131,black,NA,0.32315822633876917,NA,NA,16,109763.6
Los Angeles,CA,Los Angeles,0131,hispanic,NA,0.11080766565828289,NA,NA,14.399999999999999,213069.73333333334
Los Angeles,CA,Los Angeles,0132,white,NA,0.10772053007767274,NA,NA,126.66666666666666,120984.26666666666
Los Angeles,CA,Los Angeles,0132,black,NA,0.32315822633876917,NA,NA,55.76470588235294,109763.6
Los Angeles,CA,Los Angeles,0132,hispanic,NA,0.11080766565828289,NA,NA,138,213069.73333333334
Los Angeles,CA,Los Angeles,0133,white,NA,0.10772053007767274,NA,NA,42.85714285714286,120984.26666666666
Los Angeles,CA,Los Angeles,0133,black,NA,0.32315822633876917,NA,NA,29.53846153846154,109763.6
Los Angeles,CA,Los Angeles,0133,hispanic,NA,0.11080766565828289,NA,NA,44,213069.73333333334
Los Angeles,CA,Los Angeles,0134,white,NA,0.10772053007767274,NA,NA,216.70588235294116,120984.26666666666
Los Angeles,CA,Los Angeles,0134,black,NA,0.32315822633876917,NA,NA,140,109763.6
Los Angeles,CA,Los Angeles,0134,hispanic,NA,0.11080766565828289,NA,NA,398.66666666666663,213069.73333333334
Los Angeles,CA,Los Angeles,0135,white,NA,0.10772053007767274,NA,NA,236,120984.26666666666
Los Angeles,CA,Los Angeles,0135,black,NA,0.32315822633876917,NA,NA,128.21052631578948,109763.6
Los Angeles,CA,Los Angeles,0135,hispanic,NA,0.11080766565828289,NA,NA,342.3157894736842,213069.73333333334
Los Angeles,CA,Los Angeles,0138,white,NA,0.10772053007767274,NA,NA,184.66666666666669,120984.26666666666
Los Angeles,CA,Los Angeles,0138,black,NA,0.32315822633876917,NA,NA,238.10526315789474,109763.6
Los Angeles,CA,Los Angeles,0138,hispanic,NA,0.11080766565828289,NA,NA,411.1578947368421,213069.73333333334
Los Angeles,CA,Los Angeles,0139,white,NA,0.10772053007767274,NA,NA,58.58823529411765,120984.26666666666
Los Angeles,CA,Los Angeles,0139,black,NA,0.32315822633876917,NA,NA,67.76470588235294,109763.6
Los Angeles,CA,Los Angeles,0139,hispanic,NA,0.11080766565828289,NA,NA,169.33333333333331,213069.73333333334
Los Angeles,CA,Los Angeles,0141,white,NA,0.10772053007767274,NA,NA,33.230769230769226,120984.26666666666
Los Angeles,CA,Los Angeles,0141,black,NA,0.32315822633876917,NA,NA,18,109763.6
Los Angeles,CA,Los Angeles,0141,hispanic,NA,0.11080766565828289,NA,NA,39.69230769230769,213069.73333333334
Los Angeles,CA,Los Angeles,0142,white,NA,0.10772053007767274,NA,NA,95.36842105263159,120984.26666666666
Los Angeles,CA,Los Angeles,0142,black,NA,0.32315822633876917,NA,NA,66.35294117647058,109763.6
Los Angeles,CA,Los Angeles,0142,hispanic,NA,0.11080766565828289,NA,NA,109.89473684210526,213069.73333333334
Los Angeles,CA,Los Angeles,0143,white,NA,0.10772053007767274,NA,NA,126,120984.26666666666
Los Angeles,CA,Los Angeles,0143,black,NA,0.32315822633876917,NA,NA,106.10526315789474,109763.6
Los Angeles,CA,Los Angeles,0143,hispanic,NA,0.11080766565828289,NA,NA,206.52631578947367,213069.73333333334
Los Angeles,CA,Los Angeles,0144,white,NA,0.10772053007767274,NA,NA,57.75,120984.26666666666
Los Angeles,CA,Los Angeles,0144,black,NA,0.32315822633876917,NA,NA,36,109763.6
Los Angeles,CA,Los Angeles,0144,hispanic,NA,0.11080766565828289,NA,NA,70.58823529411765,213069.73333333334
Los Angeles,CA,Los Angeles,0145,white,NA,0.10772053007767274,NA,NA,73.5,120984.26666666666
